model	objective	gene	status	value
./iJR904.xml	obj	G_b0352	optimal	0.9219480950504616
./iJR904.xml	obj	G_b0353	optimal	0.9219480950504659
./iJR904.xml	obj	G_b0356	optimal	0.9219480950504693
./iJR904.xml	obj	G_b0365	optimal	0.9219480950504688
./iJR904.xml	obj	G_b0366	optimal	0.9219480950504724
./iJR904.xml	obj	G_b0367	optimal	0.9219480950504655
./iJR904.xml	obj	G_b0368	optimal	0.9219480950504667
./iJR904.xml	obj	G_b0369	optimal	0.9219480950504414
./iJR904.xml	obj	G_b0381	optimal	0.9219480950504778
./iJR904.xml	obj	G_b0386	optimal	3.4589173241674103e-16
./iJR904.xml	obj	G_b0388	optimal	0.9219480950504738
./iJR904.xml	obj	G_b0401	optimal	0.9219480950504658
./iJR904.xml	obj	G_b0403	optimal	0.9219480950505644
./iJR904.xml	obj	G_b0414	optimal	0.0
./iJR904.xml	obj	G_b0415	optimal	-1.8759454875542295e-15
./iJR904.xml	obj	G_b0417	optimal	0.9219480950504682
./iJR904.xml	obj	G_b0418	optimal	0.9219480950504678
./iJR904.xml	obj	G_b0420	optimal	0.9219480950504895
./iJR904.xml	obj	G_b0421	optimal	0.9219480950504693
./iJR904.xml	obj	G_b0423	optimal	0.92194809505047
./iJR904.xml	obj	G_b0425	optimal	0.9219480950504738
./iJR904.xml	obj	G_b0428	optimal	0.9219480950504778
./iJR904.xml	obj	G_b0429	optimal	0.8739732910484854
./iJR904.xml	obj	G_b0430	optimal	0.8739732910484879
./iJR904.xml	obj	G_b0431	optimal	0.873973291048494
./iJR904.xml	obj	G_b0432	optimal	0.873973291048487
./iJR904.xml	obj	G_b0451	optimal	-2.593488592424044e-14
./iJR904.xml	obj	G_b0469	optimal	0.9219480950504659
./iJR904.xml	obj	G_b0474	optimal	5.6897215896838965e-15
./iJR904.xml	obj	G_b0475	optimal	0.9219480950504648
./iJR904.xml	obj	G_b0477	optimal	0.9219480950504675
./iJR904.xml	obj	G_b0480	optimal	-3.974318908475976e-16
./iJR904.xml	obj	G_b0485	optimal	0.9219480950504586
./iJR904.xml	obj	G_b0505	optimal	0.9219480950504673
./iJR904.xml	obj	G_b0507	optimal	0.9219480950505113
./iJR904.xml	obj	G_b0508	optimal	0.9219480950504658
./iJR904.xml	obj	G_b0509	optimal	0.9219480950504642
./iJR904.xml	obj	G_b0511	optimal	0.9219480950504539
./iJR904.xml	obj	G_b0512	optimal	0.9219480950504595
./iJR904.xml	obj	G_b0514	optimal	0.9219480950504693
./iJR904.xml	obj	G_b0516	optimal	0.9219480950504703
./iJR904.xml	obj	G_b0521	optimal	0.9219480950504669
./iJR904.xml	obj	G_b0522	optimal	4.1604896733048735e-15
