model	objective	reaction	status	value
Human-GEM.xml	obj	MAR00114	optimal	187.35363
Human-GEM.xml	obj	MAR00115	optimal	187.35363
Human-GEM.xml	obj	MAR00116	optimal	187.35363
Human-GEM.xml	obj	MAR00117	optimal	187.35363
Human-GEM.xml	obj	MAR00118	optimal	187.35363
Human-GEM.xml	obj	MAR00119	optimal	187.35363
Human-GEM.xml	obj	MAR00120	optimal	187.35363
Human-GEM.xml	obj	MAR00121	optimal	187.35363
Human-GEM.xml	obj	MAR00122	optimal	187.35363
Human-GEM.xml	obj	MAR00123	optimal	187.35363
Human-GEM.xml	obj	MAR00124	optimal	187.35363
Human-GEM.xml	obj	MAR00125	optimal	187.35363
Human-GEM.xml	obj	MAR00126	optimal	187.35363
Human-GEM.xml	obj	MAR00127	optimal	187.35363
Human-GEM.xml	obj	MAR00128	optimal	187.35363
Human-GEM.xml	obj	MAR00129	optimal	187.35363
Human-GEM.xml	obj	MAR00130	optimal	187.35363
Human-GEM.xml	obj	MAR00131	optimal	187.35363
Human-GEM.xml	obj	MAR00132	optimal	187.35363
Human-GEM.xml	obj	MAR00133	optimal	187.35363
Human-GEM.xml	obj	MAR00134	optimal	187.35363
Human-GEM.xml	obj	MAR00135	optimal	187.35363
Human-GEM.xml	obj	MAR00136	optimal	187.35363
Human-GEM.xml	obj	MAR00137	optimal	187.35363
Human-GEM.xml	obj	MAR00138	optimal	187.35363
Human-GEM.xml	obj	MAR00139	optimal	187.35363
Human-GEM.xml	obj	MAR00140	optimal	187.35363
Human-GEM.xml	obj	MAR00141	optimal	187.35363
Human-GEM.xml	obj	MAR00142	optimal	187.35363
Human-GEM.xml	obj	MAR00143	optimal	187.35363
Human-GEM.xml	obj	MAR00144	optimal	187.35363
Human-GEM.xml	obj	MAR00145	optimal	187.35363
Human-GEM.xml	obj	MAR00146	optimal	187.35363
Human-GEM.xml	obj	MAR00147	optimal	187.35363
Human-GEM.xml	obj	MAR00148	optimal	187.35363
Human-GEM.xml	obj	MAR00149	optimal	187.35363
Human-GEM.xml	obj	MAR00150	optimal	187.35363
Human-GEM.xml	obj	MAR00151	optimal	187.35363
Human-GEM.xml	obj	MAR00152	optimal	187.35363
Human-GEM.xml	obj	MAR00153	optimal	187.35363
Human-GEM.xml	obj	MAR00154	optimal	187.35363
Human-GEM.xml	obj	MAR00155	optimal	187.35363
Human-GEM.xml	obj	MAR00156	optimal	187.35363
Human-GEM.xml	obj	MAR00157	optimal	187.35363
Human-GEM.xml	obj	MAR00158	optimal	187.35363
Human-GEM.xml	obj	MAR00159	optimal	187.35363
Human-GEM.xml	obj	MAR00160	optimal	187.35363
Human-GEM.xml	obj	MAR00161	optimal	187.35363
Human-GEM.xml	obj	MAR00162	optimal	187.35363
Human-GEM.xml	obj	MAR00163	optimal	187.35363
Human-GEM.xml	obj	MAR00164	optimal	187.35363
Human-GEM.xml	obj	MAR00165	optimal	187.35363
Human-GEM.xml	obj	MAR00166	optimal	187.35363
Human-GEM.xml	obj	MAR00167	optimal	187.35363
Human-GEM.xml	obj	MAR00168	optimal	187.35363
Human-GEM.xml	obj	MAR00169	optimal	187.35363
Human-GEM.xml	obj	MAR00170	optimal	187.35363
Human-GEM.xml	obj	MAR00171	optimal	187.35363
Human-GEM.xml	obj	MAR00172	optimal	187.35363
Human-GEM.xml	obj	MAR00173	optimal	187.35363
Human-GEM.xml	obj	MAR00174	optimal	187.35363
Human-GEM.xml	obj	MAR00175	optimal	187.35363
Human-GEM.xml	obj	MAR00176	optimal	187.35363
Human-GEM.xml	obj	MAR00177	optimal	187.35363
Human-GEM.xml	obj	MAR00178	optimal	187.35363
Human-GEM.xml	obj	MAR00179	optimal	187.35363
Human-GEM.xml	obj	MAR00180	optimal	187.35363
Human-GEM.xml	obj	MAR00181	optimal	187.35363
Human-GEM.xml	obj	MAR00182	optimal	187.35363
Human-GEM.xml	obj	MAR00183	optimal	187.35363
Human-GEM.xml	obj	MAR00184	optimal	187.35363
Human-GEM.xml	obj	MAR00185	optimal	187.35363
Human-GEM.xml	obj	MAR00186	optimal	187.35363
Human-GEM.xml	obj	MAR00187	optimal	187.35363
Human-GEM.xml	obj	MAR00188	optimal	187.35363
Human-GEM.xml	obj	MAR00189	optimal	187.35363
Human-GEM.xml	obj	MAR00190	optimal	187.35363
Human-GEM.xml	obj	MAR00191	optimal	187.35363
Human-GEM.xml	obj	MAR00192	optimal	187.35363
Human-GEM.xml	obj	MAR00193	optimal	187.35363
Human-GEM.xml	obj	MAR00194	optimal	187.35363
Human-GEM.xml	obj	MAR00195	optimal	187.35363
Human-GEM.xml	obj	MAR00196	optimal	187.35363
Human-GEM.xml	obj	MAR00197	optimal	187.35363
Human-GEM.xml	obj	MAR00198	optimal	187.35363
Human-GEM.xml	obj	MAR00199	optimal	187.35363
Human-GEM.xml	obj	MAR00200	optimal	187.35363
Human-GEM.xml	obj	MAR00201	optimal	187.35363
Human-GEM.xml	obj	MAR00202	optimal	187.35363
