model	objective	reaction	flux	status	minimum	maximum	fraction_optimum
Human-GEM.xml	obj	MAR00078	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00079	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00080	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00081	187.35363	optimal	0.0	66.43588	1.0
Human-GEM.xml	obj	MAR00082	187.35363	optimal	0.0	30.810843	1.0
Human-GEM.xml	obj	MAR00083	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00084	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00085	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00086	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00087	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00088	187.35363	optimal	0.0	0.0	1.0
Human-GEM.xml	obj	MAR00089	187.35363	optimal	-693.266081	1000.0	1.0
Human-GEM.xml	obj	MAR00090	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00091	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00092	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00093	187.35363	optimal	0.0	0.0	1.0
Human-GEM.xml	obj	MAR00094	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00095	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00096	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00097	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00098	187.35363	optimal	0.0	0.0	1.0
Human-GEM.xml	obj	MAR00099	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00100	187.35363	optimal	-1000.0	0.0	1.0
Human-GEM.xml	obj	MAR00101	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00102	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00103	187.35363	optimal	-855.25266	1000.0	1.0
Human-GEM.xml	obj	MAR00104	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00105	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00106	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00107	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00108	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00109	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00110	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00111	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00112	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00113	187.35363	optimal	0.0	64.422671	1.0
Human-GEM.xml	obj	MAR00114	187.35363	optimal	0.0	64.422671	1.0
Human-GEM.xml	obj	MAR00115	187.35363	optimal	0.0	64.422671	1.0
Human-GEM.xml	obj	MAR00116	187.35363	optimal	0.0	64.422671	1.0
Human-GEM.xml	obj	MAR00117	187.35363	optimal	0.0	64.422671	1.0
Human-GEM.xml	obj	MAR00118	187.35363	optimal	0.0	64.422671	1.0
Human-GEM.xml	obj	MAR00119	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00120	187.35363	optimal	-999.150426	0.0	1.0
Human-GEM.xml	obj	MAR00121	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00122	187.35363	optimal	0.0	999.150426	1.0
Human-GEM.xml	obj	MAR00123	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00124	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00125	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00126	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00127	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00128	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00129	187.35363	optimal	0.0	0.849574	1.0
Human-GEM.xml	obj	MAR00130	187.35363	optimal	0.0	0.0	1.0
Human-GEM.xml	obj	MAR00131	187.35363	optimal	0.0	38.653603	1.0
Human-GEM.xml	obj	MAR00132	187.35363	optimal	0.0	38.653603	1.0
Human-GEM.xml	obj	MAR00133	187.35363	optimal	0.0	38.653603	1.0
Human-GEM.xml	obj	MAR00134	187.35363	optimal	0.0	38.653603	1.0
Human-GEM.xml	obj	MAR00135	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00136	187.35363	optimal	-386.536029	1000.0	1.0
Human-GEM.xml	obj	MAR00137	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00138	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00139	187.35363	optimal	0.0	833.333333	1.0
Human-GEM.xml	obj	MAR00140	187.35363	optimal	0.0	0.0	1.0
Human-GEM.xml	obj	MAR00141	187.35363	optimal	-1000.0	0.0	1.0
Human-GEM.xml	obj	MAR00142	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00143	187.35363	optimal	-1000.0	1000.0	1.0
