model	objective	gene	status	value
iJN1463.xml	obj	PP_0343	optimal	0.0
iJN1463.xml	obj	PP_0344	optimal	0.0
iJN1463.xml	obj	PP_0345	optimal	0.586118
iJN1463.xml	obj	PP_0346	optimal	0.586118
iJN1463.xml	obj	PP_0350	optimal	0.586118
iJN1463.xml	obj	PP_0356	optimal	0.586117
iJN1463.xml	obj	PP_0362	optimal	0.0
iJN1463.xml	obj	PP_0363	optimal	0.0
iJN1463.xml	obj	PP_0364	optimal	0.0
iJN1463.xml	obj	PP_0365	optimal	0.0
iJN1463.xml	obj	PP_0366	optimal	0.0
iJN1463.xml	obj	PP_0368	optimal	0.586118
iJN1463.xml	obj	PP_0376	optimal	0.0
iJN1463.xml	obj	PP_0378	optimal	0.0
iJN1463.xml	obj	PP_0380	optimal	0.0
iJN1463.xml	obj	PP_0381	optimal	0.0
iJN1463.xml	obj	PP_0382	optimal	0.586118
iJN1463.xml	obj	PP_0383	optimal	0.586118
iJN1463.xml	obj	PP_0391	optimal	0.586118
iJN1463.xml	obj	PP_0392	optimal	0.0
iJN1463.xml	obj	PP_0393	optimal	0.586118
iJN1463.xml	obj	PP_0398	optimal	0.586118
iJN1463.xml	obj	PP_0399	optimal	0.586118
iJN1463.xml	obj	PP_0402	optimal	0.0
iJN1463.xml	obj	PP_0411	optimal	0.586118
iJN1463.xml	obj	PP_0412	optimal	0.586118
iJN1463.xml	obj	PP_0413	optimal	0.586118
iJN1463.xml	obj	PP_0414	optimal	0.586118
iJN1463.xml	obj	PP_0415	optimal	0.586074
iJN1463.xml	obj	PP_0416	optimal	0.586118
iJN1463.xml	obj	PP_0417	optimal	0.0
iJN1463.xml	obj	PP_0418	optimal	0.586118
iJN1463.xml	obj	PP_0420	optimal	0.0
iJN1463.xml	obj	PP_0421	optimal	0.0
iJN1463.xml	obj	PP_0422	optimal	0.0
iJN1463.xml	obj	PP_0427	optimal	0.586118
iJN1463.xml	obj	PP_0432	optimal	0.586118
iJN1463.xml	obj	PP_0434	optimal	0.586118
iJN1463.xml	obj	PP_0436	optimal	0.586118
iJN1463.xml	obj	PP_0437	optimal	0.0
iJN1463.xml	obj	PP_0438	optimal	0.0
iJN1463.xml	obj	PP_0481	optimal	0.586118
iJN1463.xml	obj	PP_0489	optimal	0.586118
iJN1463.xml	obj	PP_0490	optimal	0.586118
iJN1463.xml	obj	PP_0491	optimal	0.586118
iJN1463.xml	obj	PP_0492	optimal	0.586118
iJN1463.xml	obj	PP_0493	optimal	0.586118
iJN1463.xml	obj	PP_0495	optimal	0.586118
iJN1463.xml	obj	PP_0496	optimal	0.586118
iJN1463.xml	obj	PP_0500	optimal	0.586118
iJN1463.xml	obj	PP_0501	optimal	0.0
iJN1463.xml	obj	PP_0510	optimal	0.586118
iJN1463.xml	obj	PP_0514	optimal	0.0
iJN1463.xml	obj	PP_0515	optimal	0.586118
iJN1463.xml	obj	PP_0516	optimal	0.586118
iJN1463.xml	obj	PP_0517	optimal	0.0
iJN1463.xml	obj	PP_0519	optimal	0.0
iJN1463.xml	obj	PP_0520	optimal	0.0
iJN1463.xml	obj	PP_0522	optimal	0.586118
iJN1463.xml	obj	PP_0524	optimal	0.586118
iJN1463.xml	obj	PP_0525	optimal	0.586118
iJN1463.xml	obj	PP_0527	optimal	0.0
iJN1463.xml	obj	PP_0528	optimal	0.0
iJN1463.xml	obj	PP_0530	optimal	0.586118
iJN1463.xml	obj	PP_0535	optimal	0.586118
iJN1463.xml	obj	PP_0538	optimal	0.586118
iJN1463.xml	obj	PP_0542	optimal	0.586118
iJN1463.xml	obj	PP_0543	optimal	0.586118
iJN1463.xml	obj	PP_0544	optimal	0.586118
iJN1463.xml	obj	PP_0545	optimal	0.586118
iJN1463.xml	obj	PP_0547	optimal	0.586118
iJN1463.xml	obj	PP_0548	optimal	0.586118
iJN1463.xml	obj	PP_0551	optimal	0.586118
iJN1463.xml	obj	PP_0552	optimal	0.586118
iJN1463.xml	obj	PP_0553	optimal	0.586118
iJN1463.xml	obj	PP_0554	optimal	0.586118
iJN1463.xml	obj	PP_0555	optimal	0.586118
iJN1463.xml	obj	PP_0556	optimal	0.586118
iJN1463.xml	obj	PP_0558	optimal	0.0
iJN1463.xml	obj	PP_0559	optimal	0.0
iJN1463.xml	obj	PP_0560	optimal	0.586118
iJN1463.xml	obj	PP_0561	optimal	0.586118
iJN1463.xml	obj	PP_0565	optimal	0.586118
iJN1463.xml	obj	PP_0567	optimal	0.586118
iJN1463.xml	obj	PP_0572	optimal	0.586118
iJN1463.xml	obj	PP_0586	optimal	0.586118
iJN1463.xml	obj	PP_0591	optimal	0.586118
iJN1463.xml	obj	PP_0596	optimal	0.586118
iJN1463.xml	obj	PP_0597	optimal	0.586118
iJN1463.xml	obj	PP_0601	optimal	0.0
iJN1463.xml	obj	PP_0602	optimal	0.0
iJN1463.xml	obj	PP_0603	optimal	0.586118
iJN1463.xml	obj	PP_0606	optimal	0.0
iJN1463.xml	obj	PP_0612	optimal	0.586118
iJN1463.xml	obj	PP_0614	optimal	0.586118
iJN1463.xml	obj	PP_0626	optimal	0.586118
iJN1463.xml	obj	PP_0631	optimal	0.0
iJN1463.xml	obj	PP_0652	optimal	0.586118
iJN1463.xml	obj	PP_0654	optimal	0.581215
iJN1463.xml	obj	PP_0658	optimal	0.586118
iJN1463.xml	obj	PP_0659	optimal	0.586118
iJN1463.xml	obj	PP_0660	optimal	0.586118
iJN1463.xml	obj	PP_0662	optimal	0.586118
iJN1463.xml	obj	PP_0664	optimal	0.586118
iJN1463.xml	obj	PP_0665	optimal	0.586118
iJN1463.xml	obj	PP_0669	optimal	0.586118
iJN1463.xml	obj	PP_0671	optimal	0.586118
iJN1463.xml	obj	PP_0675	optimal	0.586118
iJN1463.xml	obj	PP_0686	optimal	0.586118
iJN1463.xml	obj	PP_0687	optimal	0.0
iJN1463.xml	obj	PP_0691	optimal	0.58542
iJN1463.xml	obj	PP_0713	optimal	0.586118
iJN1463.xml	obj	PP_0718	optimal	0.586118
iJN1463.xml	obj	PP_0722	optimal	0.586118
iJN1463.xml	obj	PP_0723	optimal	0.0
iJN1463.xml	obj	PP_0732	optimal	0.0
iJN1463.xml	obj	PP_0735	optimal	0.0
iJN1463.xml	obj	PP_0736	optimal	0.586118
iJN1463.xml	obj	PP_0744	optimal	0.0
iJN1463.xml	obj	PP_0745	optimal	0.586118
iJN1463.xml	obj	PP_0746	optimal	0.586118
iJN1463.xml	obj	PP_0747	optimal	0.586118
iJN1463.xml	obj	PP_0751	optimal	0.586118
iJN1463.xml	obj	PP_0762	optimal	0.586118
iJN1463.xml	obj	PP_0763	optimal	0.586118
iJN1463.xml	obj	PP_0774	optimal	0.586118
iJN1463.xml	obj	PP_0777	optimal	0.586118
iJN1463.xml	obj	PP_0786	optimal	0.586118
iJN1463.xml	obj	PP_0787	optimal	0.0
iJN1463.xml	obj	PP_0789	optimal	0.586118
iJN1463.xml	obj	PP_0793	optimal	0.586118
iJN1463.xml	obj	PP_0794	optimal	0.586118
iJN1463.xml	obj	PP_0795	optimal	0.586118
iJN1463.xml	obj	PP_0799	optimal	0.586118
iJN1463.xml	obj	PP_0808	optimal	0.586118
iJN1463.xml	obj	PP_0809	optimal	0.586118
iJN1463.xml	obj	PP_0812	optimal	0.586118
iJN1463.xml	obj	PP_0813	optimal	0.586118
iJN1463.xml	obj	PP_0814	optimal	0.586118
iJN1463.xml	obj	PP_0815	optimal	0.586118
iJN1463.xml	obj	PP_0816	optimal	0.586118
iJN1463.xml	obj	PP_0817	optimal	0.586118
iJN1463.xml	obj	PP_0823	optimal	0.586118
iJN1463.xml	obj	PP_0824	optimal	0.586118
iJN1463.xml	obj	PP_0825	optimal	0.586118
iJN1463.xml	obj	PP_0826	optimal	0.586118
iJN1463.xml	obj	PP_0827	optimal	0.586118
iJN1463.xml	obj	PP_0832	optimal	0.586118
iJN1463.xml	obj	PP_0833	optimal	0.586118
iJN1463.xml	obj	PP_0838	optimal	0.586118
iJN1463.xml	obj	PP_0840	optimal	0.586118
iJN1463.xml	obj	PP_0842	optimal	0.586118
iJN1463.xml	obj	PP_0843	optimal	0.0
iJN1463.xml	obj	PP_0844	optimal	0.0
iJN1463.xml	obj	PP_0847	optimal	0.0
iJN1463.xml	obj	PP_0849	optimal	0.586118
iJN1463.xml	obj	PP_0853	optimal	0.0
iJN1463.xml	obj	PP_0854	optimal	0.586118
iJN1463.xml	obj	PP_0860	optimal	0.0
iJN1463.xml	obj	PP_0864	optimal	0.585941
iJN1463.xml	obj	PP_0867	optimal	0.586118
iJN1463.xml	obj	PP_0868	optimal	0.586118
iJN1463.xml	obj	PP_0869	optimal	0.586118
iJN1463.xml	obj	PP_0870	optimal	0.586118
iJN1463.xml	obj	PP_0871	optimal	0.586118
iJN1463.xml	obj	PP_0873	optimal	0.586118
iJN1463.xml	obj	PP_0878	optimal	0.586093
iJN1463.xml	obj	PP_0879	optimal	0.586093
iJN1463.xml	obj	PP_0880	optimal	0.586093
iJN1463.xml	obj	PP_0881	optimal	0.586093
iJN1463.xml	obj	PP_0882	optimal	0.586118
iJN1463.xml	obj	PP_0883	optimal	0.586118
iJN1463.xml	obj	PP_0884	optimal	0.586118
iJN1463.xml	obj	PP_0885	optimal	0.586118
iJN1463.xml	obj	PP_0897	optimal	0.586118
iJN1463.xml	obj	PP_0914	optimal	0.586118
iJN1463.xml	obj	PP_0915	optimal	0.586118
iJN1463.xml	obj	PP_0920	optimal	0.586118
iJN1463.xml	obj	PP_0922	optimal	0.586118
iJN1463.xml	obj	PP_0926	optimal	0.586118
iJN1463.xml	obj	PP_0927	optimal	0.586118
iJN1463.xml	obj	PP_0928	optimal	0.0
iJN1463.xml	obj	PP_0930	optimal	0.586118
iJN1463.xml	obj	PP_0931	optimal	0.586118
iJN1463.xml	obj	PP_0932	optimal	0.586118
iJN1463.xml	obj	PP_0936	optimal	0.586118
iJN1463.xml	obj	PP_0944	optimal	0.586118
iJN1463.xml	obj	PP_0946	optimal	0.586118
iJN1463.xml	obj	PP_0953	optimal	0.0
iJN1463.xml	obj	PP_0954	optimal	0.0
iJN1463.xml	obj	PP_0955	optimal	0.0
iJN1463.xml	obj	PP_0956	optimal	0.0
iJN1463.xml	obj	PP_0957	optimal	0.586118
iJN1463.xml	obj	PP_0958	optimal	0.586118
iJN1463.xml	obj	PP_0959	optimal	0.586118
iJN1463.xml	obj	PP_0960	optimal	0.586118
iJN1463.xml	obj	PP_0964	optimal	0.0
iJN1463.xml	obj	PP_0965	optimal	0.0
iJN1463.xml	obj	PP_0966	optimal	0.0
iJN1463.xml	obj	PP_0967	optimal	0.0
iJN1463.xml	obj	PP_0970	optimal	0.586118
iJN1463.xml	obj	PP_0977	optimal	0.586118
iJN1463.xml	obj	PP_0980	optimal	0.586118
iJN1463.xml	obj	PP_0982	optimal	0.0
iJN1463.xml	obj	PP_0983	optimal	0.0
iJN1463.xml	obj	PP_0986	optimal	0.586118
iJN1463.xml	obj	PP_0987	optimal	0.586118
iJN1463.xml	obj	PP_0988	optimal	0.586118
iJN1463.xml	obj	PP_0989	optimal	0.586118
iJN1463.xml	obj	PP_0996	optimal	0.586118
iJN1463.xml	obj	PP_0999	optimal	0.582458
iJN1463.xml	obj	PP_1000	optimal	0.0
iJN1463.xml	obj	PP_1001	optimal	0.586118
iJN1463.xml	obj	PP_1002	optimal	0.586118
iJN1463.xml	obj	PP_1003	optimal	0.586118
iJN1463.xml	obj	PP_1005	optimal	0.586118
iJN1463.xml	obj	PP_1006	optimal	0.586118
iJN1463.xml	obj	PP_1009	optimal	0.586118
iJN1463.xml	obj	PP_1010	optimal	0.573272
iJN1463.xml	obj	PP_1011	optimal	0.586118
iJN1463.xml	obj	PP_1014	optimal	0.586118
iJN1463.xml	obj	PP_1015	optimal	0.586118
iJN1463.xml	obj	PP_1016	optimal	0.586118
iJN1463.xml	obj	PP_1017	optimal	0.586118
iJN1463.xml	obj	PP_1018	optimal	0.586118
iJN1463.xml	obj	PP_1019	optimal	0.586118
iJN1463.xml	obj	PP_1022	optimal	0.586118
iJN1463.xml	obj	PP_1023	optimal	0.586118
iJN1463.xml	obj	PP_1024	optimal	0.573272
iJN1463.xml	obj	PP_1025	optimal	0.0
iJN1463.xml	obj	PP_1031	optimal	0.584896
iJN1463.xml	obj	PP_1032	optimal	0.0
iJN1463.xml	obj	PP_1037	optimal	-0.0
iJN1463.xml	obj	PP_1059	optimal	0.586118
iJN1463.xml	obj	PP_1068	optimal	0.586118
iJN1463.xml	obj	PP_1069	optimal	0.586118
iJN1463.xml	obj	PP_1070	optimal	0.586118
iJN1463.xml	obj	PP_1071	optimal	0.586118
iJN1463.xml	obj	PP_1073	optimal	0.586118
iJN1463.xml	obj	PP_1075	optimal	0.586104
iJN1463.xml	obj	PP_1076	optimal	0.58594
iJN1463.xml	obj	PP_1078	optimal	0.0
iJN1463.xml	obj	PP_1079	optimal	0.0
iJN1463.xml	obj	PP_1082	optimal	0.586118
iJN1463.xml	obj	PP_1086	optimal	0.0
iJN1463.xml	obj	PP_1088	optimal	0.0
iJN1463.xml	obj	PP_1097	optimal	0.586118
iJN1463.xml	obj	PP_1100	optimal	0.586118
iJN1463.xml	obj	PP_1110	optimal	0.586118
iJN1463.xml	obj	PP_1129	optimal	0.0
iJN1463.xml	obj	PP_1132	optimal	0.586118
iJN1463.xml	obj	PP_1137	optimal	0.586118
iJN1463.xml	obj	PP_1138	optimal	0.586118
iJN1463.xml	obj	PP_1139	optimal	0.586118
iJN1463.xml	obj	PP_1140	optimal	0.586118
iJN1463.xml	obj	PP_1141	optimal	0.586118
iJN1463.xml	obj	PP_1144	optimal	0.586118
iJN1463.xml	obj	PP_1156	optimal	0.586118
iJN1463.xml	obj	PP_1157	optimal	0.586118
iJN1463.xml	obj	PP_1160	optimal	0.586118
iJN1463.xml	obj	PP_1167	optimal	0.586118
iJN1463.xml	obj	PP_1168	optimal	0.586118
iJN1463.xml	obj	PP_1169	optimal	0.586118
iJN1463.xml	obj	PP_1171	optimal	0.586118
iJN1463.xml	obj	PP_1173	optimal	0.586118
iJN1463.xml	obj	PP_1177	optimal	0.0
iJN1463.xml	obj	PP_1179	optimal	0.0
iJN1463.xml	obj	PP_1183	optimal	0.586118
iJN1463.xml	obj	PP_1188	optimal	0.586118
iJN1463.xml	obj	PP_1200	optimal	0.586118
iJN1463.xml	obj	PP_1205	optimal	0.586118
iJN1463.xml	obj	PP_1206	optimal	0.586118
iJN1463.xml	obj	PP_1213	optimal	0.586118
iJN1463.xml	obj	PP_1225	optimal	0.586118
iJN1463.xml	obj	PP_1226	optimal	0.586118
iJN1463.xml	obj	PP_1229	optimal	0.586118
iJN1463.xml	obj	PP_1231	optimal	0.0
iJN1463.xml	obj	PP_1235	optimal	0.586118
iJN1463.xml	obj	PP_1237	optimal	0.0
iJN1463.xml	obj	PP_1240	optimal	-0.0
iJN1463.xml	obj	PP_1251	optimal	0.586118
iJN1463.xml	obj	PP_1254	optimal	0.586118
iJN1463.xml	obj	PP_1255	optimal	0.586118
iJN1463.xml	obj	PP_1256	optimal	0.586118
iJN1463.xml	obj	PP_1257	optimal	0.586118
iJN1463.xml	obj	PP_1258	optimal	0.586118
iJN1463.xml	obj	PP_1259	optimal	0.586118
iJN1463.xml	obj	PP_1277	optimal	0.586118
iJN1463.xml	obj	PP_1278	optimal	0.586118
iJN1463.xml	obj	PP_1279	optimal	0.586118
iJN1463.xml	obj	PP_1280	optimal	0.586118
iJN1463.xml	obj	PP_1281	optimal	0.586118
iJN1463.xml	obj	PP_1282	optimal	0.586118
iJN1463.xml	obj	PP_1283	optimal	0.586118
iJN1463.xml	obj	PP_1284	optimal	0.586118
iJN1463.xml	obj	PP_1285	optimal	0.586118
iJN1463.xml	obj	PP_1286	optimal	0.586118
iJN1463.xml	obj	PP_1287	optimal	0.586118
iJN1463.xml	obj	PP_1288	optimal	0.586118
iJN1463.xml	obj	PP_1292	optimal	0.0
iJN1463.xml	obj	PP_1293	optimal	0.0
iJN1463.xml	obj	PP_1294	optimal	0.0
iJN1463.xml	obj	PP_1297	optimal	0.586118
iJN1463.xml	obj	PP_1298	optimal	0.586118
iJN1463.xml	obj	PP_1299	optimal	0.586118
iJN1463.xml	obj	PP_1300	optimal	0.586118
iJN1463.xml	obj	PP_1303	optimal	0.0
iJN1463.xml	obj	PP_1304	optimal	0.0
iJN1463.xml	obj	PP_1308	optimal	0.586118
iJN1463.xml	obj	PP_1311	optimal	0.586118
iJN1463.xml	obj	PP_1317	optimal	0.586118
iJN1463.xml	obj	PP_1318	optimal	0.586118
iJN1463.xml	obj	PP_1319	optimal	0.586118
iJN1463.xml	obj	PP_1323	optimal	0.0
iJN1463.xml	obj	PP_1331	optimal	0.586118
iJN1463.xml	obj	PP_1332	optimal	0.0
iJN1463.xml	obj	PP_1333	optimal	0.0
iJN1463.xml	obj	PP_1334	optimal	0.0
iJN1463.xml	obj	PP_1335	optimal	0.0
iJN1463.xml	obj	PP_1336	optimal	0.0
iJN1463.xml	obj	PP_1337	optimal	0.0
iJN1463.xml	obj	PP_1338	optimal	0.586118
iJN1463.xml	obj	PP_1339	optimal	0.586118
iJN1463.xml	obj	PP_1343	optimal	0.0
iJN1463.xml	obj	PP_1346	optimal	0.586118
iJN1463.xml	obj	PP_1351	optimal	0.586118
iJN1463.xml	obj	PP_1355	optimal	0.586118
iJN1463.xml	obj	PP_1362	optimal	0.586118
iJN1463.xml	obj	PP_1367	optimal	0.586118
iJN1463.xml	obj	PP_1373	optimal	0.586118
iJN1463.xml	obj	PP_1376	optimal	0.586118
iJN1463.xml	obj	PP_1377	optimal	0.586118
iJN1463.xml	obj	PP_1378	optimal	0.586118
iJN1463.xml	obj	PP_1379	optimal	0.586118
iJN1463.xml	obj	PP_1380	optimal	0.586118
iJN1463.xml	obj	PP_1381	optimal	0.586118
iJN1463.xml	obj	PP_1382	optimal	0.586118
iJN1463.xml	obj	PP_1383	optimal	0.586118
iJN1463.xml	obj	PP_1384	optimal	0.586118
iJN1463.xml	obj	PP_1385	optimal	0.586118
iJN1463.xml	obj	PP_1386	optimal	0.586118
iJN1463.xml	obj	PP_1394	optimal	0.586118
iJN1463.xml	obj	PP_1400	optimal	0.586118
iJN1463.xml	obj	PP_1403	optimal	0.586118
iJN1463.xml	obj	PP_1407	optimal	0.586118
iJN1463.xml	obj	PP_1408	optimal	0.586045
iJN1463.xml	obj	PP_1414	optimal	0.586118
iJN1463.xml	obj	PP_1416	optimal	0.586118
iJN1463.xml	obj	PP_1417	optimal	0.586118
iJN1463.xml	obj	PP_1418	optimal	0.586118
iJN1463.xml	obj	PP_1419	optimal	0.586118
iJN1463.xml	obj	PP_1426	optimal	0.0
iJN1463.xml	obj	PP_1436	optimal	0.0
iJN1463.xml	obj	PP_1444	optimal	0.579634
iJN1463.xml	obj	PP_1445	optimal	0.586118
iJN1463.xml	obj	PP_1457	optimal	0.586118
iJN1463.xml	obj	PP_1469	optimal	0.586118
iJN1463.xml	obj	PP_1470	optimal	0.586118
iJN1463.xml	obj	PP_1471	optimal	0.586118
iJN1463.xml	obj	PP_1478	optimal	0.586118
iJN1463.xml	obj	PP_1481	optimal	0.586118
iJN1463.xml	obj	PP_1484	optimal	0.586118
iJN1463.xml	obj	PP_1494	optimal	0.586118
iJN1463.xml	obj	PP_1496	optimal	0.586118
iJN1463.xml	obj	PP_1505	optimal	0.586118
iJN1463.xml	obj	PP_1506	optimal	0.586106
iJN1463.xml	obj	PP_1520	optimal	0.586118
iJN1463.xml	obj	PP_1525	optimal	0.0
iJN1463.xml	obj	PP_1528	optimal	0.586118
iJN1463.xml	obj	PP_1529	optimal	0.586118
iJN1463.xml	obj	PP_1530	optimal	0.0
iJN1463.xml	obj	PP_1587	optimal	0.586118
iJN1463.xml	obj	PP_1588	optimal	0.586118
iJN1463.xml	obj	PP_1593	optimal	0.586089
iJN1463.xml	obj	PP_1595	optimal	0.0
iJN1463.xml	obj	PP_1596	optimal	0.0
iJN1463.xml	obj	PP_1597	optimal	0.0
iJN1463.xml	obj	PP_1601	optimal	0.0
iJN1463.xml	obj	PP_1602	optimal	0.0
iJN1463.xml	obj	PP_1603	optimal	0.0
iJN1463.xml	obj	PP_1604	optimal	0.0
iJN1463.xml	obj	PP_1607	optimal	0.0
iJN1463.xml	obj	PP_1610	optimal	0.0
iJN1463.xml	obj	PP_1611	optimal	0.586118
iJN1463.xml	obj	PP_1612	optimal	0.56564
iJN1463.xml	obj	PP_1614	optimal	0.0
iJN1463.xml	obj	PP_1616	optimal	0.586118
iJN1463.xml	obj	PP_1617	optimal	0.586118
iJN1463.xml	obj	PP_1618	optimal	0.0
iJN1463.xml	obj	PP_1620	optimal	0.586107
iJN1463.xml	obj	PP_1625	optimal	0.0
